,index,interval,quarterbeats,duration_qb,mc,mn,mc_onset,mn_onset,timesig,staff,voice,volta,label,globalkey,pedal,chord,special,numeral,form,figbass,changes,cadence,phraseend,chord_type,globalkey_is_minor,chord_tones,added_tones,root,bass_note,alt_label,pedalend
0,0,"[0.0, 1.0)",0,1.0,1,1,0,0,3/4,4,1,,F.I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
1,1,"[1.0, 3.0)",1,2.0,1,1,1/4,1/4,3/4,4,1,,I6,F,,I6,,I,,6,,,,M,False,"(4, 1, 0)",(),0,4,,
2,2,"[3.0, 4.0)",3,1.0,2,2,0,0,3/4,4,1,,V(4),F,,V(4),,V,,,4,,,M,False,"(1, 0, 2)",(),1,1,,
3,3,"[4.0, 5.0)",4,1.0,2,2,1/4,1/4,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
4,4,"[5.0, 6.0)",5,1.0,2,2,1/2,1/2,3/4,4,1,,V43/ii,F,,VI43,,VI,,43,,,,Mm7,False,"(4, 1, 3, 7)",(),3,4,,
5,5,"[6.0, 7.0)",6,1.0,3,3,0,0,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
6,6,"[7.0, 9.0)",7,2.0,3,3,1/4,1/4,3/4,4,1,,ii6,F,,ii6,,ii,,6,,,,m,False,"(-1, 3, 2)",(),2,-1,,
7,7,"[9.0, 10.0)",9,1.0,4,4,0,0,3/4,4,1,,V(4)/ii,F,,VI(4),,VI,,,4,,,M,False,"(3, 2, 4)",(),3,3,,
8,8,"[10.0, 11.0)",10,1.0,4,4,1/4,1/4,3/4,4,1,,V/ii,F,,VI,,VI,,,,,,M,False,"(3, 7, 4)",(),3,3,,
9,9,"[11.0, 12.0)",11,1.0,4,4,1/2,1/2,3/4,4,1,,V43/iii,F,,VII43,,VII,,43,,,,Mm7,False,"(6, 3, 5, 9)",(),5,6,,
10,10,"[12.0, 13.0)",12,1.0,5,5,0,0,3/4,4,1,,iii,F,,iii,,iii,,,,,,m,False,"(4, 1, 5)",(),4,4,,
11,11,"[13.0, 14.0)",13,1.0,5,5,1/4,1/4,3/4,4,1,,iii6,F,,iii6,,iii,,6,,,,m,False,"(1, 5, 4)",(),4,1,,
12,12,"[14.0, 15.0)",14,1.0,5,5,1/2,1/2,3/4,4,1,,V/iii,F,,VII,,VII,,,,,,M,False,"(5, 9, 6)",(),5,5,,
13,13,"[15.0, 18.0)",15,3.0,6,6,0,0,3/4,4,1,,iii,F,,iii,,iii,,,,,,m,False,"(4, 1, 5)",(),4,4,,
14,14,"[18.0, 21.0)",18,3.0,7,7,0,0,3/4,4,1,,V.V7,F,,II7,,II,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
15,15,"[21.0, 24.0)",21,3.0,8,8,0,0,3/4,4,1,,I,F,,V,,V,,,,,,M,False,"(0, 4, 1)",(),0,0,,
16,16,"[24.0, 27.0)",24,3.0,9,9,0,0,3/4,4,1,,V7,F,,II7,,II,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
17,17,"[27.0, 30.0)",27,3.0,10,10,0,0,3/4,4,1,,I\\,F,,V,,V,,,,,\\,M,False,"(0, 4, 1)",(),0,0,,
18,18,"[30.0, 32.0)",30,2.0,11,11,0,0,3/4,4,1,,bIII.I,F,,bIII,,bIII,,,,,,M,False,"(0, 4, 1)",(),0,0,,
19,19,"[32.0, 33.0)",32,1.0,11,11,1/2,1/2,3/4,4,1,,I6,F,,bIII6,,bIII,,6,,,,M,False,"(4, 1, 0)",(),0,4,,
20,20,"[33.0, 34.0)",33,1.0,12,12,0,0,3/4,4,1,,V64,F,,bVII64,,bVII,,64,,,,M,False,"(2, 1, 5)",(),1,2,,
21,21,"[34.0, 35.0)",34,1.0,12,12,1/4,1/4,3/4,4,1,,V43,F,,bVII43,,bVII,,43,,,,Mm7,False,"(2, -1, 1, 5)",(),1,2,,
22,22,"[35.0, 36.0)",35,1.0,12,12,1/2,1/2,3/4,4,1,,V7,F,,bVII7,,bVII,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
23,23,"[36.0, 37.0)",36,1.0,13,13,0,0,3/4,4,1,,I(974),F,,bIII(97b4),,bIII,,,97b4,,,M,False,"(0, -1, 1)","(2, 5)",0,0,,
24,24,"[37.0, 39.0)",37,2.0,13,13,1/4,1/4,3/4,4,1,,I,F,,bIII,,bIII,,,,,,M,False,"(0, 4, 1)",(),0,0,,
25,25,"[39.0, 41.0)",39,2.0,14,14,0,0,3/4,4,1,,vi,F,,i,,i,,,,,,m,False,"(3, 0, 4)",(),3,3,,
26,26,"[41.0, 42.0)",41,1.0,14,14,1/2,1/2,3/4,4,1,,vi6,F,,i6,,i,,6,,,,m,False,"(0, 4, 3)",(),3,0,,
27,27,"[42.0, 43.0)",42,1.0,15,15,0,0,3/4,4,1,,V64/vi,F,,V64,,V,,64,,,,M,False,"(5, 4, 8)",(),4,5,,
28,28,"[43.0, 44.0)",43,1.0,15,15,1/4,1/4,3/4,4,1,,V43/vi,F,,V43,,V,,43,,,,Mm7,False,"(5, 2, 4, 8)",(),4,5,,
29,29,"[44.0, 45.0)",44,1.0,15,15,1/2,1/2,3/4,4,1,,V7/vi,F,,V7,,V,,7,,,,Mm7,False,"(4, 8, 5, 2)",(),4,4,,
30,30,"[45.0, 46.0)",45,1.0,16,16,0,0,3/4,4,1,,vi(#74),F,,i(74),,i,,,74,,,m,False,"(3, 2, 4)","(8,)",3,3,,
31,31,"[46.0, 48.0)",46,2.0,16,16,1/4,1/4,3/4,4,1,,vi,F,,i,,i,,,,,,m,False,"(3, 0, 4)",(),3,3,,
32,32,"[48.0, 51.0)",48,3.0,17,17,0,0,3/4,4,1,,bVI.I,F,,bVI,,bVI,,,,,,M,False,"(0, 4, 1)",(),0,0,,
33,33,"[51.0, 52.0)",51,1.0,18,18,0,0,3/4,4,1,,V(64),F,,bIII(6b4),,bIII,,,6b4,,,M,False,"(1, 0, 4)",(),1,1,,
34,34,"[52.0, 53.0)",52,1.0,18,18,1/4,1/4,3/4,4,1,,V,F,,bIII,,bIII,,,,,,M,False,"(1, 5, 2)",(),1,1,,
35,35,"[53.0, 54.0)",53,1.0,18,18,1/2,1/2,3/4,4,1,,#viio6/ii,F,,vio6,,vi,o,6,,,,o,False,"(4, 1, 7)",(),7,4,,
36,36,"[54.0, 57.0)",54,3.0,19,19,0,0,3/4,4,1,,ii,F,,bvii,,bvii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
37,37,"[57.0, 58.0)",57,1.0,20,20,0,0,3/4,4,1,,V(64)/ii,F,,IV(b6b4),,IV,,,b6b4,,,M,False,"(3, 2, -1)",(),3,3,,
38,38,"[58.0, 59.0)",58,1.0,20,20,1/4,1/4,3/4,4,1,,V/ii,F,,IV,,IV,,,,,,M,False,"(3, 7, 4)",(),3,3,,
39,39,"[59.0, 60.0)",59,1.0,20,20,1/2,1/2,3/4,4,1,,#viio6/iii,F,,viio6,,vii,o,6,,,,o,False,"(6, 3, 9)",(),9,6,,
40,40,"[60.0, 63.0)",60,3.0,21,21,0,0,3/4,4,1,,i.i,F,,i,,i,,,,,,m,False,"(0, -3, 1)",(),0,0,,
41,41,"[63.0, 64.0)",63,1.0,22,22,0,0,3/4,4,1,,V(64),F,,V(b64),,V,,,b64,,,M,False,"(1, 0, -3)",(),1,1,,
42,42,"[64.0, 65.0)",64,1.0,22,22,1/4,1/4,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
43,43,"[65.0, 66.0)",65,1.0,22,22,1/2,1/2,3/4,4,1,,i6,F,,i6,,i,,6,,,,m,False,"(-3, 1, 0)",(),0,-3,,
44,44,"[66.0, 69.0)",66,3.0,23,23,0,0,3/4,4,1,,#viio,F,,viio,,vii,o,,,,,o,False,"(5, 2, -1)",(),5,5,,
45,45,"[69.0, 70.0)",69,1.0,24,24,0,0,3/4,4,1,,i(4+2),F,,i(4+2),,i,,,4+2,,,m,False,"(0, -1, 1)","(2,)",0,0,,
46,46,"[70.0, 71.0)",70,1.0,24,24,1/4,1/4,3/4,4,1,,VI,F,,bVI,,bVI,,,,,,M,False,"(-4, 0, -3)",(),-4,-4,,
47,47,"[71.0, 72.0)",71,1.0,24,24,1/2,1/2,3/4,4,1,,viio7/V,F,,#ivo7,,#iv,o,7,,,,o7,False,"(6, 3, 0, -3)",(),6,6,,
48,48,"[72.0, 75.0)",72,3.0,25,25,0,0,3/4,4,1,,V[V,F,V,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
49,49,"[75.0, 78.0)",75,3.0,26,26,0,0,3/4,4,1,,i,F,V,i,,i,,,,,,m,False,"(0, -3, 1)",(),0,0,,
50,50,"[78.0, 81.0)",78,3.0,27,27,0,0,3/4,4,1,,V,F,V,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
51,51,"[81.0, 84.0)",81,3.0,28,28,0,0,3/4,4,1,,i,F,V,i,,i,,,,,,m,False,"(0, -3, 1)",(),0,0,,
52,52,"[84.0, 87.0)",84,3.0,29,29,0,0,3/4,4,1,,V],F,V,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
53,53,"[87.0, 89.0)",87,2.0,30,30,0,0,3/4,4,1,,V6,F,,V6,,V,,6,,,,M,False,"(5, 2, 1)",(),1,5,,
54,54,"[89.0, 90.0)",89,1.0,30,30,1/2,1/2,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
55,55,"[90.0, 93.0)",90,3.0,31,31,0,0,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
56,56,"[93.0, 95.0)",93,2.0,32,32,0,0,3/4,4,1,,V43,F,,V43,,V,,43,,,,Mm7,False,"(2, -1, 1, 5)",(),1,2,,
57,57,"[95.0, 96.0)",95,1.0,32,32,1/2,1/2,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
58,58,"[96.0, 99.0)",96,3.0,33,33,0,0,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
59,59,"[99.0, 101.0)",99,2.0,34,34,0,0,3/4,4,1,,V43,F,,V43,,V,,43,,,,Mm7,False,"(2, -1, 1, 5)",(),1,2,,
60,60,"[101.0, 102.0)",101,1.0,34,34,1/2,1/2,3/4,4,1,,vi,F,,bvi,,bvi,,,,,,m,False,"(-4, -7, -3)",(),-4,-4,,
61,61,"[102.0, 105.0)",102,3.0,35,35,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
62,62,"[105.0, 106.0)",105,1.0,36,36,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
63,63,"[106.0, 107.0)",106,1.0,36,36,1/4,1/4,3/4,4,1,,V2,F,,V2,,V,,2,,,,Mm7,False,"(-1, 1, 5, 2)",(),1,-1,,
64,64,"[107.0, 108.0)",107,1.0,36,36,1/2,1/2,3/4,4,1,,V43,F,,V43,,V,,43,,,,Mm7,False,"(2, -1, 1, 5)",(),1,2,,
65,65,"[108.0, 109.0)",108,1.0,37,37,0,0,3/4,4,1,,I.I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
66,66,"[109.0, 110.0)",109,1.0,37,37,1/4,1/4,3/4,4,1,,I6,F,,I6,,I,,6,,,,M,False,"(4, 1, 0)",(),0,4,,
67,67,"[110.0, 111.0)",110,1.0,37,37,1/2,1/2,3/4,4,1,,viio7/V,F,,#ivo7,,#iv,o,7,,,,o7,False,"(6, 3, 0, -3)",(),6,6,,
68,68,"[111.0, 112.0)",111,1.0,38,38,0,0,3/4,4,1,,V(4+2),F,,V(4+2),,V,,,4+2,,,M,False,"(1, 0, 2)","(3,)",1,1,,
69,69,"[112.0, 113.0)",112,1.0,38,38,1/4,1/4,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
70,70,"[113.0, 114.0)",113,1.0,38,38,1/2,1/2,3/4,4,1,,V43/ii,F,,VI43,,VI,,43,,,,Mm7,False,"(4, 1, 3, 7)",(),3,4,,
71,71,"[114.0, 115.0)",114,1.0,39,39,0,0,3/4,4,1,,V(4)/V,F,,II(4),,II,,,4,,,M,False,"(2, 1, 3)",(),2,2,,
72,72,"[115.0, 116.0)",115,1.0,39,39,1/4,1/4,3/4,4,1,,V6/V,F,,II6,,II,,6,,,,M,False,"(6, 3, 2)",(),2,6,,
73,73,"[116.0, 117.0)",116,1.0,39,39,1/2,1/2,3/4,4,1,,#viio7/vi,F,,#vo7,,#v,o,7,,,,o7,False,"(8, 5, 2, -1)",(),8,8,,
74,74,"[117.0, 118.0)",117,1.0,40,40,0,0,3/4,4,1,,V(4+2)/ii,F,,VI(4+b2),,VI,,,4+b2,,,M,False,"(3, 2, 4)","(-2,)",3,3,,
75,75,"[118.0, 119.0)",118,1.0,40,40,1/4,1/4,3/4,4,1,,V/ii,F,,VI,,VI,,,,,,M,False,"(3, 7, 4)",(),3,3,,
76,76,"[119.0, 120.0)",119,1.0,40,40,1/2,1/2,3/4,4,1,,V43/iii,F,,VII43,,VII,,43,,,,Mm7,False,"(6, 3, 5, 9)",(),5,6,,
77,77,"[120.0, 121.0)",120,1.0,41,41,0,0,3/4,4,1,,iii(4),F,,iii(4),,iii,,,4,,,m,False,"(4, 3, 5)",(),4,4,,
78,78,"[121.0, 122.0)",121,1.0,41,41,1/4,1/4,3/4,4,1,,iii6,F,,iii6,,iii,,6,,,,m,False,"(1, 5, 4)",(),4,1,,
79,79,"[122.0, 123.0)",122,1.0,41,41,1/2,1/2,3/4,4,1,,V/iii,F,,VII,,VII,,,,,,M,False,"(5, 9, 6)",(),5,5,,
80,80,"[123.0, 126.0)",123,3.0,42,42,0,0,3/4,4,1,,iii,F,,iii,,iii,,,,,,m,False,"(4, 1, 5)",(),4,4,,
81,81,"[126.0, 127.0)",126,1.0,43,43,0,0,3/4,4,1,,vi,F,,vi,,vi,,,,,,m,False,"(3, 0, 4)",(),3,3,,
82,82,"[127.0, 128.0)",127,1.0,43,43,1/4,1/4,3/4,4,1,,vi6,F,,vi6,,vi,,6,,,,m,False,"(0, 4, 3)",(),3,0,,
83,83,"[128.0, 129.0)",128,1.0,43,43,1/2,1/2,3/4,4,1,,V/vi,F,,III,,III,,,,,,M,False,"(4, 8, 5)",(),4,4,,
84,84,"[129.0, 132.0)",129,3.0,44,44,0,0,3/4,4,1,,vi,F,,vi,,vi,,,,,,m,False,"(3, 0, 4)",(),3,3,,
85,85,"[132.0, 133.0)",132,1.0,45,45,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
86,86,"[133.0, 134.0)",133,1.0,45,45,1/4,1/4,3/4,4,1,,I6,F,,I6,,I,,6,,,,M,False,"(4, 1, 0)",(),0,4,,
87,87,"[134.0, 135.0)",134,1.0,45,45,1/2,1/2,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
88,88,"[135.0, 138.0)",135,3.0,46,46,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
89,89,"[138.0, 141.0)",138,3.0,47,47,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
90,90,"[141.0, 144.0)",141,3.0,48,48,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
91,91,"[144.0, 147.0)",144,3.0,49,49,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
92,92,"[147.0, 151.0)",147,4.0,50,50,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
93,93,"[151.0, 153.0)",151,2.0,51,51,1/4,1/4,3/4,4,1,,viio6,F,,viio6,,vii,o,6,,,,o,False,"(2, -1, 5)",(),5,2,,
94,94,"[153.0, 157.0)",153,4.0,52,52,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
95,95,"[157.0, 159.0)",157,2.0,53,53,1/4,1/4,3/4,4,1,,viio6,F,,viio6,,vii,o,6,,,,o,False,"(2, -1, 5)",(),5,2,,
96,96,"[159.0, 162.0)",159,3.0,54,54,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
97,97,"[162.0, 165.0)",162,3.0,55,55,0,0,3/4,4,1,,viio6,F,,viio6,,vii,o,6,,,,o,False,"(2, -1, 5)",(),5,2,,
98,98,"[165.0, 168.0)",165,3.0,56,56,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
99,99,"[168.0, 171.0)",168,3.0,57,57,0,0,3/4,4,1,,#viio65/ii,F,,#io65,,#i,o,65,,,,o7,False,"(4, 1, -2, 7)",(),7,4,,
100,100,"[171.0, 174.0)",171,3.0,58,58,0,0,3/4,4,1,,ii6,F,,ii6,,ii,,6,,,,m,False,"(-1, 3, 2)",(),2,-1,,
101,101,"[174.0, 177.0)",174,3.0,59,59,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
